Fecha,Partido,Seleccion,Probabilidad,Total_Estimado,Señal_Total,Bullpen_ML,Resultado,Total_Real,Resultado_Total
2026-06-18,STL @ KCR,KCR,42.9,8.9,OVER  ▲,CONTRADICE ✗,,,
2026-06-18,SFG @ ATL,SFG,40.8,8.8,NEUTRO ─,CONTRADICE ✗,,,
